Lexeme, Token, Count
"public", KEYWORD, 2
"class", KEYWORD, 1
"BubbleSort", IDENTIFIER, 1
"{", SEPARATOR, 6
"static", KEYWORD, 1
"void", KEYWORD, 1
"main", IDENTIFIER, 1
"(", SEPARATOR, 8
"final", KEYWORD, 2
"String", IDENTIFIER, 1
"[", SEPARATOR, 10
"]", SEPARATOR, 10
"args", IDENTIFIER, 1
")", SEPARATOR, 8
"int", KEYWORD, 3
"n", IDENTIFIER, 4
"=", OPERATOR, 8
"10", LITERAL, 1
",", SEPARATOR, 12
"c", IDENTIFIER, 9
"d", IDENTIFIER, 10
"swap", IDENTIFIER, 3
";", SEPARATOR, 13
"array", IDENTIFIER, 8
"new", KEYWORD, 1
"23", LITERAL, 1
"1", LITERAL, 6
"78", LITERAL, 1
"45", LITERAL, 1
"46", LITERAL, 1
"90", LITERAL, 1
"2", LITERAL, 1
"12", LITERAL, 1
"75", LITERAL, 1
"0", LITERAL, 4
"}", SEPARATOR, 6
"for", KEYWORD, 3
"<", OPERATOR, 4
"-", OPERATOR, 3
"++", OPERATOR, 3
"if", KEYWORD, 1
">", OPERATOR, 1
"+", OPERATOR, 3
"/", OPERATOR, 2
"*", OPERATOR, 2
"For", IDENTIFIER, 1
"descending", IDENTIFIER, 1
"order", IDENTIFIER, 1
"use", IDENTIFIER, 1
"System", IDENTIFIER, 2
".", SEPARATOR, 4
"out", IDENTIFIER, 2
"println", IDENTIFIER, 2
"Sorted list of numbers:", STRING, 1
