Lexeme, Token, Count
"program", KEYWORDS, 1
"public4", IDENTIFIERS, 1
"(", DELIMITORS, 2
"output", IDENTIFIERS, 1
")", DELIMITORS, 2
";", DELIMITORS, 17
"label", KEYWORDS, 1
"1492", LITERALS, 1
".", OPERATORS, 1
",", DELIMITORS, 10
"1776", LITERALS, 1
"type", KEYWORDS, 1
"complex", IDENTIFIERS, 4
"=", OPERATORS, 5
"record", KEYWORDS, 2
"re", IDENTIFIERS, 1
"im", IDENTIFIERS, 1
":", DELIMITORS, 12
"real", IDENTIFIERS, 2
"end", KEYWORDS, 3
"color", IDENTIFIERS, 4
"red", IDENTIFIERS, 1
"white", IDENTIFIERS, 1
"blue", IDENTIFIERS, 1
"pp", IDENTIFIERS, 3
"^", OPERATORS, 1
"person", IDENTIFIERS, 3
"age", IDENTIFIERS, 1
"integer", IDENTIFIERS, 2
"friend", IDENTIFIERS, 1
"location", IDENTIFIERS, 1
"favorite", IDENTIFIERS, 1
"salary", IDENTIFIERS, 1
"const", KEYWORDS, 1
"d", IDENTIFIERS, 2
"-", OPERATORS, 1
"0.0625", LITERALS, 1
"var", KEYWORDS, 1
"c", IDENTIFIERS, 1
"i", IDENTIFIERS, 2
"sum", IDENTIFIERS, 1
"ac", IDENTIFIERS, 1
"array", KEYWORDS, 3
"[", DELIMITORS, 3
"1", LITERALS, 3
"..", DELIMITORS, 3
"10", LITERALS, 2
"]", DELIMITORS, 3
"of", KEYWORDS, 3
"aco", IDENTIFIERS, 1
"john", IDENTIFIERS, 1
"mary", IDENTIFIERS, 1
"fred", IDENTIFIERS, 1
"ptr", IDENTIFIERS, 1
"people", IDENTIFIERS, 1
"20", LITERALS, 1
"begin", KEYWORDS, 1
":=", OPERATORS, 1
"3", LITERALS, 1
